Date,Price,Open,High,Low,Change %
10/20/2023,1689.8,1710.4,1714.5,1688.1,-1.34%
10/19/2023,1712.7,1739.1,1748.1,1709.2,-1.58%
10/18/2023,1740.2,1777.5,1779.3,1737.0,-2.13%
10/17/2023,1778.1,1759.2,1792.9,1746.1,+1.14%
10/16/2023,1758.0,1729.9,1762.2,1729.9,+1.62%
10/13/2023,1729.9,1746.3,1755.2,1724.3,-0.93%
10/12/2023,1746.2,1791.2,1800.9,1736.0,-2.23%
10/11/2023,1786.0,1789.8,1802.7,1773.2,-0.22%
10/10/2023,1790.0,1768.9,1801.0,1766.9,+1.11%
10/09/2023,1770.3,1743.5,1775.7,1735.6,+0.60%
10/06/2023,1759.7,1742.4,1769.1,1723.1,+0.92%
10/05/2023,1743.6,1740.3,1748.8,1728.8,+0.03%
10/04/2023,1743.0,1739.5,1748.4,1720.7,+0.06%
10/03/2023,1741.9,1773.7,1775.7,1734.4,-1.67%
10/02/2023,1771.4,1814.9,1818.2,1762.9,-1.51%
09/29/2023,1798.6,1811.9,1824.8,1793.4,-0.58%
09/28/2023,1809.1,1798.3,1818.9,1786.0,+0.90%
09/27/2023,1793.0,1781.9,1802.8,1777.4,+0.85%
09/26/2023,1777.9,1803.3,1804.1,1776.3,-1.28%
09/25/2023,1800.9,1793.0,1804.6,1780.4,+0.46%
09/22/2023,1792.7,1798.3,1810.0,1791.9,-0.29%
09/21/2023,1797.9,1826.0,1826.8,1795.6,-1.56%
09/20/2023,1826.3,1846.1,1863.9,1824.3,-1.05%
09/19/2023,1845.6,1854.7,1862.0,1838.9,-0.41%
09/18/2023,1853.2,1866.2,1871.1,1852.8,-0.64%
09/15/2023,1865.1,1888.9,1892.7,1856.9,-1.13%
09/14/2023,1886.5,1861.2,1891.4,1859.9,+1.40%
09/13/2023,1860.4,1873.7,1881.6,1854.1,-0.69%
09/12/2023,1873.3,1876.0,1884.9,1868.9,-0.13%
09/11/2023,1875.8,1870.3,1889.5,1870.3,+1.26%
09/09/2023,1852.5,1852.5,1852.5,1852.5,-1.06%
09/08/2023,1872.3,1878.1,1883.0,1866.8,-0.25%
09/07/2023,1876.9,1894.6,1896.7,1868.4,-1.00%
