Date,Price,Open,High,Low,Change %
10/12/2023,4349.61,4380.94,4385.85,4325.43,-0.62%
10/11/2023,4376.95,4366.59,4378.64,4345.34,+0.43%
10/10/2023,4358.24,4339.75,4385.46,4339.64,+0.52%
10/09/2023,4335.66,4289.02,4341.73,4283.79,+0.63%
10/06/2023,4308.5,4234.79,4324.1,4219.55,+1.18%
10/05/2023,4258.19,4259.31,4267.13,4225.91,-0.13%
10/04/2023,4263.75,4233.83,4268.5,4220.48,+0.81%
10/03/2023,4229.45,4269.75,4281.15,4216.45,-1.37%
10/02/2023,4288.39,4284.52,4300.58,4260.21,+0.01%
09/29/2023,4288.05,4328.18,4333.15,4274.86,-0.27%
09/28/2023,4299.7,4269.65,4317.27,4264.38,+0.59%
09/27/2023,4274.51,4282.63,4292.07,4238.63,+0.02%
09/26/2023,4273.53,4312.88,4313.01,4265.98,-1.47%
09/25/2023,4337.44,4310.62,4338.51,4302.7,+0.40%
09/22/2023,4320.06,4341.74,4357.4,4316.49,-0.23%
09/21/2023,4330.0,4374.36,4375.7,4329.17,-1.64%
09/20/2023,4402.2,4452.81,4461.03,4401.38,-0.94%
09/19/2023,4443.95,4445.41,4449.85,4416.61,-0.22%
09/18/2023,4453.53,4445.13,4466.36,4442.11,+0.07%
09/15/2023,4450.32,4497.98,4497.98,4447.21,-1.22%
09/14/2023,4505.1,4487.78,4511.99,4478.69,+0.84%
09/13/2023,4467.44,4462.65,4479.39,4453.52,+0.12%
09/12/2023,4461.9,4473.27,4487.11,4456.83,-0.57%
09/11/2023,4487.46,4480.98,4490.77,4467.89,+0.67%
09/08/2023,4457.49,4451.3,4473.53,4448.38,+0.14%
09/07/2023,4451.14,4434.55,4457.81,4430.46,-0.32%
09/06/2023,4465.48,4490.35,4490.35,4442.38,-0.70%
09/05/2023,4496.83,4510.06,4514.29,4496.01,-0.42%
09/01/2023,4515.77,4530.6,4541.25,4501.35,+0.18%
08/31/2023,4507.66,4517.01,4532.26,4507.39,-0.16%
08/30/2023,4514.87,4500.34,4521.65,4493.59,+0.38%
08/29/2023,4497.63,4432.75,4500.14,4431.68,+1.45%
08/28/2023,4433.31,4426.03,4439.56,4414.98,+0.63%
08/25/2023,4405.71,4389.38,4418.46,4356.29,+0.67%
08/24/2023,4376.31,4455.16,4458.3,4375.55,-1.35%
08/23/2023,4436.01,4396.44,4443.18,4396.44,+1.10%
08/22/2023,4387.55,4415.33,4418.59,4382.77,-0.28%
08/21/2023,4399.77,4380.28,4407.55,4360.3,+0.69%
08/18/2023,4369.71,4344.88,4381.82,4335.31,-0.01%
08/17/2023,4370.36,4416.32,4421.17,4364.83,-0.77%
08/16/2023,4404.33,4433.79,4449.95,4403.55,-0.76%
08/15/2023,4437.86,4478.87,4478.87,4432.19,-1.16%
08/14/2023,4489.72,4458.13,4490.33,4453.44,+0.58%
08/11/2023,4464.05,4450.69,4476.23,4443.98,-0.11%
08/10/2023,4468.83,4487.16,4527.37,4457.92,+0.03%
08/09/2023,4467.71,4501.57,4502.44,4461.33,-0.70%
08/08/2023,4499.38,4498.03,4503.31,4464.39,-0.42%
