Date,Price,Open,High,Low,Change %
10/03/2023,14565.62,14744.92,14818.54,14504.51,-1.83%
10/02/2023,14837.57,14716.83,14891.83,14703.2,+0.83%
09/29/2023,14715.24,14855.83,14900.66,14664.78,+0.08%
09/28/2023,14702.77,14530.35,14787.27,14510.17,+0.84%
09/27/2023,14580.16,14603.51,14657.21,14432.87,+0.24%
09/26/2023,14545.83,14661.67,14678.22,14505.78,-1.51%
09/25/2023,14768.89,14662.69,14771.12,14615.45,+0.46%
09/22/2023,14701.1,14755.39,14855.75,14687.01,+0.05%
09/21/2023,14694.24,14813.21,14848.49,14692.01,-1.84%
09/20/2023,14969.92,15224.51,15244.86,14968.43,-1.46%
09/19/2023,15191.23,15151.83,15219.47,15069.74,-0.22%
09/18/2023,15225.37,15160.01,15268.84,15155.46,+0.15%
09/15/2023,15202.4,15427.11,15434.59,15174.13,-1.75%
09/14/2023,15473.89,15433.01,15512.74,15337.7,+0.82%
09/13/2023,15348.53,15293.27,15414.15,15256.61,+0.38%
09/12/2023,15289.74,15389.3,15447.85,15279.02,-1.11%
09/11/2023,15461.87,15408.55,15482.62,15329.38,+1.19%
09/08/2023,15280.23,15265.74,15373.58,15244.08,+0.14%
09/07/2023,15258.52,15174.22,15288.2,15138.73,-0.73%
09/06/2023,15371.44,15468.29,15486.63,15289.75,-0.88%
09/05/2023,15508.24,15460.03,15556.52,15420.25,+0.11%
09/01/2023,15490.86,15598.41,15618.04,15429.36,-0.07%
08/31/2023,15501.07,15476.54,15574.43,15466.47,+0.25%
08/30/2023,15462.43,15386.59,15484.61,15342.85,+0.56%
08/29/2023,15376.55,15042.31,15391.53,15036.46,+2.15%
08/28/2023,15052.46,15034.95,15085.57,14948.92,+0.74%
08/25/2023,14941.83,14863.21,15001.29,14716.77,+0.85%
08/24/2023,14816.44,15279.24,15279.24,14816.19,-2.19%
08/23/2023,15148.06,14948.01,15188.66,14948.01,+1.60%
08/22/2023,14908.96,15034.57,15037.17,14884.02,-0.19%
08/21/2023,14936.69,14765.12,14958.71,14739.92,+1.65%
08/18/2023,14694.84,14589.71,14743.57,14558.71,-0.14%
08/17/2023,14715.81,14943.82,14948.91,14698.29,-1.08%
08/16/2023,14876.47,15022.33,15075.22,14874.02,-1.07%
08/15/2023,15037.65,15172.39,15192.61,15014.61,-1.10%
08/14/2023,15205.58,14989.53,15205.58,14972.25,+1.18%
08/11/2023,15028.07,15011.16,15102.13,14973.82,-0.67%
