Date,Price,Open,High,Low,Change %
08/17/2023,34473.9,34829.61,34888.29,34441.46,-0.84%
08/16/2023,34765.64,34914.96,35131.63,34757.37,-0.52%
08/15/2023,34946.86,35160.55,35185.2,34908.5,-1.02%
08/14/2023,35307.63,35273.89,35335.45,35169.97,+0.07%
08/11/2023,35281.4,35111.36,35354.6,35059.99,+0.30%
08/10/2023,35176.15,35231.54,35578.58,35107.6,+0.15%
08/09/2023,35123.36,35324.28,35370.89,35058.73,-0.54%
08/08/2023,35314.49,35345.4,35346.64,35007.41,-0.45%
08/07/2023,35473.13,35125.6,35497.38,35125.6,+1.16%
08/04/2023,35065.62,35230.13,35506.88,35033.76,-0.43%
08/03/2023,35215.89,35194.56,35348.2,35122.32,-0.19%
08/02/2023,35282.52,35551.92,35551.92,35226.26,-0.98%
08/01/2023,35630.68,35585.99,35679.13,35526.61,+0.20%
07/31/2023,35559.53,35465.97,35566.95,35430.22,+0.28%
07/28/2023,35459.29,35443.49,35565.51,35355.15,+0.50%
07/27/2023,35282.72,35558.79,35645.35,35216.58,-0.67%
07/26/2023,35520.12,35345.99,35633.61,35306.27,+0.23%
07/25/2023,35438.07,35421.49,35527.57,35365.26,+0.08%
07/24/2023,35411.24,35230.79,35463.97,35230.79,+0.52%
07/21/2023,35227.69,35274.32,35340.66,35186.05,+0.01%
07/20/2023,35225.18,35091.98,35372.77,35091.98,+0.47%
07/19/2023,35061.21,34991.21,35234.05,34991.21,+0.31%
07/18/2023,34951.93,34597.08,34986.36,34530.61,+1.06%
07/17/2023,34585.35,34499.74,34665.15,34418.72,+0.22%
07/14/2023,34509.03,34425.33,34592.26,34425.33,+0.33%
07/13/2023,34395.14,34412.31,34482.26,34365.33,+0.14%
07/12/2023,34347.43,34395.28,34586.94,34308.78,+0.25%
07/11/2023,34261.42,34056.94,34288.87,33993.01,+0.93%
07/10/2023,33944.4,33705.68,33958.36,33705.68,+0.62%
07/07/2023,33734.88,33837.07,34036.38,33716.75,-0.55%
07/06/2023,33922.26,34171.39,34171.39,33771.47,-1.07%
07/05/2023,34288.64,34344.72,34376.11,34226.98,-0.38%
07/03/2023,34418.47,34369.78,34465.6,34286.54,+0.03%
06/30/2023,34407.6,34269.92,34467.35,34269.92,+0.84%
06/29/2023,34122.42,33854.57,34147.68,33828.63,+0.80%
06/28/2023,33852.66,33881.38,33903.76,33755.92,-0.22%
06/27/2023,33926.74,33739.03,33975.65,33730.39,+0.63%
06/26/2023,33714.71,33730.79,33819.49,33610.32,-0.04%
06/23/2023,33727.43,33835.66,33835.66,33646.49,-0.65%
06/22/2023,33946.71,33900.47,34003.56,33835.39,-0.01%
06/21/2023,33951.52,33990.56,34097.93,33876.17,-0.30%
06/20/2023,34053.87,34206.66,34206.66,33915.93,-0.72%
06/16/2023,34299.12,34464.02,34588.68,34285.69,-0.32%
06/15/2023,34408.06,33945.98,34488.98,33945.98,+1.26%
06/14/2023,33979.33,34044.7,34151.42,33783.55,-0.68%
06/13/2023,34212.12,34111.08,34310.28,34107.98,+0.43%
06/12/2023,34066.33,33906.8,34077.84,33878.46,+0.56%
06/09/2023,33876.78,33852.44,33975.32,33787.16,+0.13%
06/08/2023,33833.61,33656.98,33873.81,33630.04,+0.50%
06/07/2023,33665.02,33562.47,33708.78,33546.11,+0.27%
06/06/2023,33573.28,33547.67,33631.25,33399.69,+0.03%
06/05/2023,33562.86,33771.13,33804.22,33552.79,-0.59%
